n02666196       abacus
n12267677       acorn
n02686568       aircraft
n07884567       alcohol, alcoholic drink, alcoholic beverage, intoxicant, inebriant
n02699494       altar
n02219486       ant, emmet, pismire
n02437312       Arabian camel, dromedary, Camelus dromedarius
n01769347       arachnid, arachnoid
n01902750       armor, armour
n07718747       artichoke, globe artichoke
n02747177       ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin
n02756098       attire, garb, dress
n02766320       baby bed, baby's bed
n02773037       bag
n02786058       Band Aid
n02788148       bannister, banister, balustrade, balusters, handrail
n02801938       basket, handbasket
n02814860       beacon, lighthouse, beacon light, pharos
n02131653       bear
n02206856       bee
n02164464       beetle
n07720875       bell pepper
n02127808       big cat, cat
n02840245       binder, ring-binder
n01503061       bird
n02870880       bookcase
n07248320       book jacket, dust cover, dust jacket, dust wrapper
n02401031       bovid
n02881193       bowl
n00135148       box
n02892767       brassiere, bra, bandeau
n07679356       bread, breadstuff, staff of life
n02894605       breakwater, groin, groyne, mole, bulwark, seawall, jetty
n02895606       breathing device, breathing apparatus, breathing machine, ventilator
n02898711       bridge, span
n02906734       broom
n02909053       bubble
n02913152       building, edifice
n02917067       bullet train, bullet
n02924116       bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle
n02274259       butterfly
n08381820       cabinet
n02942699       camera, photographic camera
n07730033       cardoon
n02965783       car mirror
n02966687       carpenter's kit, tool kit
n02977058       cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM
n02978881       cassette
n02979186       cassette player
n02980441       castle
n02121620       cat, true cat
n02988304       CD player
n01784675       centipede
n08057816       chain
n03000684       chain saw, chainsaw
n03016953       chiffonier, commode
n09246464       cliff, drop, drop-off
n03045337       cloak
n01909422       coelenterate, cnidarian
n03065424       coil, spiral, volute, whorl, helix
n03074380       column, pillar
n06596364       comic book
n03082979       computer, computing machine, computing device, data processor, electronic computer, information processing system
n07810907       condiment
n03101986       cooking utensil, cookware
n07556970       course
n01976957       crab
n02012849       crane
n01985128       crayfish, crawfish, crawdad, crawdaddy
n01696633       crocodilian reptile, crocodilian
n07713395       cruciferous vegetable
n07718472       cucumber, cuke
n03151077       curtain, drape, drapery, mantle, pall
n03160309       dam, dike, dyke
n03179701       desk
n03188531       diaper, nappy, napkin
n02232951       dictyopterous insect
n03201208       dining table, board
n03206908       dish
n03208938       disk brake, disc brake
n03216828       dock, dockage, docking facility
n02084071       dog, domestic dog, Canis familiaris
n03223299       doormat, welcome mat
n07860988       dough
n03240683       drilling platform, offshore rig
n02074367       dugong, Dugong dugon
n13133613       ear, spike, capitulum
n02316707       echinoderm
n02453611       edentate
n07705931       edible fruit
n03271574       electric fan, blower
n03274561       electro-acoustic transducer
n03277771       electronic device
n06881662       elephant
n03290653       entertainment center
n13869788       envelope
n02374149       equine, equid
n07920052       espresso
n03309808       fabric, cloth, material, textile
n03314780       face powder
n03322940       farm machine
n03323703       fastener, fastening, holdfast, fixing
n03327234       fence, fencing
n03337140       file, file cabinet, filing cabinet
n03339643       filter
n02512053       fish
n11669921       flower
n02190166       fly
n03380867       footwear, footgear
n03388043       fountain
n03388549       four-poster
n14764910       fox
n01639765       frog, toad, toad frog, anuran, batrachian, salientian
n12992868       fungus
n03414162       game equipment
n09288635       geyser
n03438257       glass, drinking glass
n03450230       gown
n03459775       grille, radiator grille
n03461385       grocery store, grocery, food market, market
n03467068       guillotine
n03472232       gymnastic apparatus, exerciser
n03483316       hand blower, blow dryer, blow drier, hair dryer, hair drier
n03489162       hand tool
n03492542       hard disc, hard disk, fixed disk
n03497657       hat, chapeau, lid
n03498962       hatchet
n07802026       hay
n03502509       headdress, headgear
n03508101       heater, warmer
n03513376       helmet
n01986214       hermit crab
n02398521       hippopotamus, hippo, river horse, Hippopotamus amphibius
n12620546       hip, rose hip, rosehip
n02246011       homopterous insect, homopteran
n03546340       housing, lodging, living accommodations
n02117135       hyena, hyaena
n03584254       iPod
